,S0,S1,S2,S3,S4,S5,S6
0,0,0,1,3,1,14,27
1,0,0,2,3,15,12,57
2,0,0,2,3,8,17,57
3,0,0,1,1,7,4,36
4,0,0,1,4,13,30,40
5,0,0,2,1,9,21,42
6,0,0,2,1,7,30,15
7,0,1,3,7,11,20,53
8,0,1,3,7,15,30,18
9,0,1,3,7,11,22,37
10,0,0,1,5,7,19,17
11,0,0,2,1,0,0,46
12,0,0,2,2,10,25,57
13,0,1,3,7,3,2,18
14,0,0,1,0,11,18,42
15,0,0,1,5,14,4,56
16,0,1,3,7,1,17,49
17,0,1,3,7,15,26,12
18,0,0,1,5,9,8,27
19,0,1,3,7,2,10,8
20,0,1,3,7,10,26,51
21,0,0,0,1,5,21,0
22,0,1,3,7,12,9,59
23,0,1,3,7,15,8,18
24,0,0,1,4,9,19,45
25,0,1,3,7,1,18,19
26,0,0,2,6,9,5,16
27,0,1,3,7,8,14,4
28,0,0,2,3,1,14,61
29,0,0,2,6,1,26,44
30,0,0,0,5,3,1,17
31,0,1,3,7,4,25,24
32,0,0,2,1,12,14,55
33,0,0,2,0,6,9,42
34,0,0,1,1,14,10,63
35,0,0,0,6,11,2,46
36,0,0,0,3,15,4,28
37,0,1,3,7,5,27,31
38,0,0,2,2,2,23,52
39,0,0,2,0,1,28,41
40,0,0,2,6,6,31,15
41,0,1,3,7,10,26,48
42,0,1,3,7,0,31,6
43,0,0,2,0,9,5,21
44,0,0,0,6,9,1,60
45,0,0,2,1,13,10,15
46,0,0,2,3,7,26,59
47,0,1,3,7,10,8,6
48,0,0,2,3,7,15,9
49,0,0,1,3,2,24,10
50,0,1,3,7,7,9,53
51,0,1,3,7,5,17,23
52,0,0,1,0,11,16,38
53,0,1,3,7,12,26,54
54,0,0,2,2,15,8,47
55,0,0,0,3,13,24,48
56,0,0,1,6,0,30,41
57,0,1,3,7,4,23,18
58,0,1,3,7,11,4,45
59,0,0,0,0,14,20,55
60,0,0,1,5,11,16,55
61,0,0,1,2,6,0,11
62,0,0,2,1,0,11,20
63,0,0,0,0,8,3,30
64,0,0,0,4,15,29,28
65,0,0,2,2,9,16,38
66,0,1,3,7,12,8,31
67,0,0,0,5,7,10,9
68,0,0,0,3,10,8,8
69,0,1,3,7,2,6,13
70,0,1,3,7,11,14,59
71,0,1,3,7,2,20,4
72,0,1,3,7,14,0,21
73,0,0,0,2,10,28,8
74,0,1,3,7,10,9,39
75,0,1,3,7,13,7,4
76,0,1,3,7,3,31,32
77,0,1,3,7,1,19,47
78,0,0,2,5,0,1,62
79,0,1,3,7,15,6,28
80,0,0,1,1,10,3,13
81,0,0,1,5,11,15,40
82,0,0,2,5,10,26,10
83,0,0,0,4,1,14,47
84,0,0,2,1,12,9,47
85,0,0,0,1,1,21,59
86,0,0,1,1,6,25,53
87,0,0,0,2,1,21,55
88,0,0,2,1,5,19,63
89,0,1,3,7,9,22,6
90,0,0,0,4,5,7,40
91,0,1,3,7,10,5,41
92,0,1,3,7,7,9,4
93,0,0,0,4,9,5,41
94,0,0,1,2,2,21,12
95,0,0,1,4,6,31,14
96,0,1,3,7,2,18,49
97,0,0,1,4,8,31,4
98,0,0,0,0,4,5,49
99,0,0,0,3,9,21,45
100,0,0,2,2,15,23,8
101,0,0,2,3,7,5,1
102,0,0,1,3,2,21,48
103,0,0,2,2,13,13,15
104,0,0,0,6,1,31,61
105,0,0,1,0,15,25,0
106,0,1,3,7,14,16,47
107,0,0,1,3,4,10,54
108,0,1,3,7,12,24,37
109,0,1,3,7,15,7,6
110,0,0,0,2,1,1,38
111,0,0,0,4,6,21,58
112,0,1,3,7,10,25,18
113,0,0,0,1,0,15,56
114,0,1,3,7,10,15,25
115,0,0,1,2,11,19,43
116,0,0,0,3,10,9,50
117,0,1,3,7,7,28,55
118,0,1,3,7,5,16,20
119,0,1,3,7,10,14,57
120,0,0,2,1,11,0,51
121,0,1,3,7,11,3,45
122,0,1,3,7,4,29,55
123,0,0,2,6,3,30,56
124,0,0,0,2,7,2,58
125,0,0,1,2,10,29,12
126,0,1,3,7,3,31,26
127,0,0,1,2,7,11,28
128,0,1,3,7,1,26,37
129,0,0,0,3,15,1,61
130,0,0,0,5,10,15,44
131,0,1,3,7,6,23,62
132,0,0,1,6,4,31,10
133,0,1,3,7,4,4,2
134,0,1,3,7,15,2,36
135,0,0,0,0,0,6,52
136,0,0,2,5,7,0,7
137,0,0,2,5,3,4,47
138,0,0,1,0,14,17,11
139,0,0,2,1,14,23,13
140,0,1,3,7,10,11,57
141,0,0,1,5,0,16,11
142,0,1,3,7,11,30,31
143,0,0,1,6,13,17,2
144,0,1,3,7,9,19,49
145,0,0,1,5,0,31,37
146,0,1,3,7,4,7,56
147,0,1,3,7,4,25,46
148,0,0,1,5,3,20,12
149,0,0,1,2,11,16,39
150,0,1,3,7,12,30,50
151,0,0,2,1,0,18,47
152,0,0,1,0,13,18,55
153,0,0,1,5,12,14,24
154,0,0,1,5,7,16,52
155,0,1,3,7,6,25,50
156,0,0,2,0,7,3,47
157,0,1,3,7,9,6,41
158,0,0,1,3,4,24,40
159,0,1,3,7,0,3,13
160,0,0,0,4,3,2,54
161,0,0,0,6,3,6,25
162,0,0,0,1,10,30,15
163,0,0,1,6,2,0,51
164,0,0,0,2,11,28,14
165,0,0,2,5,15,7,36
166,0,1,3,7,15,27,47
167,0,0,0,1,12,29,3
168,0,0,2,0,1,26,44
169,0,1,3,7,6,22,36
170,0,1,3,7,13,25,39
171,0,0,1,3,2,4,18
172,0,0,2,0,0,30,36
173,0,0,0,3,8,16,12
174,0,0,1,4,4,0,59
175,0,0,0,4,12,30,41
176,0,0,0,5,3,5,24
177,0,1,3,7,15,0,14
178,0,0,2,1,12,12,22
179,0,1,3,7,13,3,28
180,0,0,2,6,8,17,27
181,0,1,3,7,6,14,11
182,0,0,1,1,5,8,29
183,0,0,2,4,2,6,32
184,0,0,0,5,15,25,32
185,0,1,3,7,10,8,44
186,0,0,2,5,12,2,62
187,0,0,0,1,14,10,58
188,0,0,0,2,0,17,28
189,0,0,0,6,4,29,13
190,0,0,1,1,1,0,44
191,0,0,0,4,7,3,39
192,0,1,3,7,8,11,53
193,0,0,2,2,15,23,15
194,0,0,0,2,2,30,61
195,0,0,0,5,1,11,23
196,0,1,3,7,7,30,14
197,0,0,1,5,9,0,44
198,0,0,1,5,0,29,55
199,0,0,1,2,0,27,32
200,0,0,0,5,11,24,41
201,0,0,2,3,2,10,8
202,0,0,0,4,9,16,61
203,0,1,3,7,10,13,15
204,0,1,3,7,5,16,56
205,0,1,3,7,3,20,55
206,0,0,1,4,15,25,54
207,0,1,3,7,9,9,22
208,0,1,3,7,13,27,23
209,0,1,3,7,4,11,33
210,0,1,3,7,13,19,49
211,0,0,1,6,6,4,37
212,0,0,2,5,13,15,50
213,0,0,2,0,14,7,10
214,0,0,2,6,4,31,52
215,0,0,1,2,13,17,19
216,0,0,0,2,12,17,39
217,0,0,2,6,0,3,14
218,0,1,3,7,11,28,50
219,0,0,0,3,7,18,0
220,0,0,1,6,12,21,38
221,0,0,1,6,9,25,20
222,0,0,2,6,13,27,14
223,0,1,3,7,9,20,51
224,0,0,2,0,6,9,8
225,0,0,2,6,1,0,13
226,0,0,1,2,0,11,29
227,0,1,3,7,0,15,11
228,0,0,1,6,11,24,6
229,0,0,0,4,2,7,8
230,0,0,1,2,5,6,42
231,0,1,3,7,12,6,54
232,0,0,2,1,15,6,25
233,0,0,2,6,7,4,8
234,0,1,3,7,5,18,61
235,0,1,3,7,0,6,40
236,0,0,1,4,0,1,26
237,0,0,2,2,13,0,42
238,0,1,3,7,2,11,12
239,0,0,2,1,14,1,38
240,0,0,1,2,9,15,0
241,0,0,1,5,8,4,46
242,0,1,3,7,11,0,3
243,0,0,1,1,9,8,45
